name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Dyarrl Island,7758,Valid,Mesosiderite-A1,188,Fell,1933,-3.000000,151.000000,"(-3.0, 151.0)"
Eagle,7760,Valid,EL6,10000,Fell,1947,40.781670,-96.471670,"(40.78167, -96.47167)"
Ehole,7774,Valid,H5,2400,Fell,1961,-17.300000,15.833330,"(-17.3, 15.83333)"
Eichstädt,7775,Valid,H5,3000,Fell,1785,48.900000,11.216670,"(48.9, 11.21667)"
Ekeby,7776,Valid,H4,3336,Fell,1939,56.033330,13.000000,"(56.03333, 13.0)"
Ekh Khera,7777,Valid,H6,840,Fell,1916,28.266670,78.783330,"(28.26667, 78.78333)"
El Idrissia,7807,Valid,L6,10000,Fell,1989,34.416670,3.250000,"(34.41667, 3.25)"
El Paso de Aguila,45977,Valid,H5,17226,Fell,1977,25.370000,-97.370000,"(25.37, -97.37)"
El Tigre,7819,Valid,L6,5000,Fell,1993,19.967220,-103.051670,"(19.96722, -103.05167)"
Elbert,7822,Valid,LL6,680.5,Fell,1998,39.246670,-104.588170,"(39.24667, -104.58817)"
Elbogen,7823,Valid,"Iron, IID",107000,Fell,1399,50.183330,12.733330,"(50.18333, 12.73333)"
Elenovka,7824,Valid,L5,54640,Fell,1951,47.833330,37.666670,"(47.83333, 37.66667)"
Ellemeet,10019,Valid,Diogenite,1470,Fell,1925,51.750000,4.000000,"(51.75, 4.0)"
Emmaville,10033,Valid,Eucrite-mmict,127,Fell,1900,-29.466670,151.616670,"(-29.46667, 151.61667)"
Enshi,10038,Valid,H5,8000,Fell,1974,30.300000,109.500000,"(30.3, 109.5)"
Ensisheim,10039,Valid,LL6,127000,Fell,1491,47.866670,7.350000,"(47.86667, 7.35)"
Épinal,10041,Valid,H5,277,Fell,1822,48.183330,6.466670,"(48.18333, 6.46667)"
Erakot,10042,Valid,CM2,113,Fell,1940,19.033330,81.891670,"(19.03333, 81.89167)"
Erevan,10043,Valid,Howardite,107.2,Fell,1911,40.300000,44.500000,"(40.3, 44.5)"
Ergheo,10044,Valid,L5,20000,Fell,1889,1.166670,44.166670,"(1.16667, 44.16667)"
Erxleben,10049,Valid,H6,2250,Fell,1812,52.216670,11.250000,"(52.21667, 11.25)"
Esnandes,10051,Valid,L6,1500,Fell,1837,46.250000,-1.100000,"(46.25, -1.1)"
Essebi,10055,Valid,C2-ung,500,Fell,1957,2.883330,30.833330,"(2.88333, 30.83333)"
Estherville,10059,Valid,Mesosiderite-A3/4,320000,Fell,1879,43.416670,-94.833330,"(43.41667, -94.83333)"
Farmington,10074,Valid,L5,89400,Fell,1890,39.750000,-97.033330,"(39.75, -97.03333)"
Farmville,10075,Valid,H4,56000,Fell,1934,35.550000,-77.533330,"(35.55, -77.53333)"
Favars,10078,Valid,H5,1500,Fell,1844,44.383330,2.816670,"(44.38333, 2.81667)"
Fayetteville,10079,Valid,H4,2360,Fell,1934,36.050000,-94.166670,"(36.05, -94.16667)"
Feid Chair,10080,Valid,H4,380,Fell,1875,36.883330,8.450000,"(36.88333, 8.45)"
Felix,10081,Valid,CO3.3,3200,Fell,1900,32.533330,-87.166670,"(32.53333, -87.16667)"
Fenghsien-Ku,10086,Valid,H5,82,Fell,1924,34.600000,116.750000,"(34.6, 116.75)"
Ferguson,10088,Valid,OC,220,Fell,1889,36.100000,-81.416670,"(36.1, -81.41667)"
Fermo,10091,Valid,H3-5,10200,Fell,1996,43.181110,13.753330,"(43.18111, 13.75333)"
Fisher,10107,Valid,L6,17600,Fell,1894,47.816670,-96.850000,"(47.81667, -96.85)"
Florence,10111,Valid,H3,3640,Fell,1922,30.833330,-97.766670,"(30.83333, -97.76667)"
Forest City,10119,Valid,H5,152000,Fell,1890,43.250000,-93.666670,"(43.25, -93.66667)"
Forest Vale,10120,Valid,H4,26000,Fell,1942,-33.350000,146.858330,"(-33.35, 146.85833)"
Forksville,10123,Valid,L6,6067,Fell,1924,36.783330,-78.083330,"(36.78333, -78.08333)"
Forsbach,10163,Valid,H6,240,Fell,1900,50.950000,7.316670,"(50.95, 7.31667)"
Forsyth,10164,Valid,L6,16300,Fell,1829,33.016670,-83.966670,"(33.01667, -83.96667)"
Fort Flatters,10166,Valid,Stone-uncl,,Fell,1944,28.250000,7.000000,"(28.25, 7.0)"
Frankfort (stone),10177,Valid,Howardite,650,Fell,1868,34.483330,-87.833330,"(34.48333, -87.83333)"
Fuhe,52412,Valid,L5,23000,Fell,1945,31.475560,113.566940,"(31.47556, 113.56694)"
Fukutomi,10836,Valid,L5,11620,Fell,1882,33.183330,130.200000,"(33.18333, 130.2)"
Fünen,10838,Valid,Stone-uncl,,Fell,1654,55.333330,10.333330,"(55.33333, 10.33333)"
Futtehpur,10839,Valid,L6,4000,Fell,1822,25.950000,80.816670,"(25.95, 80.81667)"
Fuyang,10840,Valid,Stone-uncl,2500,Fell,1977,32.900000,115.900000,"(32.9, 115.9)"
Galapian,10846,Valid,H6,132.69999999999999,Fell,1826,44.300000,0.400000,"(44.3, 0.4)"
Galim (a),10848,Valid,LL6,36.1,Fell,1952,7.050000,12.433330,"(7.05, 12.43333)"
Galim (b),10849,Valid,EH3/4-an,28,Fell,1952,7.050000,12.433330,"(7.05, 12.43333)"
Galkiv,10850,Valid,H4,5000,Fell,1995,51.683330,30.783330,"(51.68333, 30.78333)"
Gambat,10851,Valid,L6,6400,Fell,1897,27.350000,68.533330,"(27.35, 68.53333)"
Gao-Guenie,10854,Valid,H5,,Fell,1960,11.650000,-2.183330,"(11.65, -2.18333)"
Garhi Yasin,10860,Valid,"Iron, IIE",380,Fell,1917,27.883330,68.533330,"(27.88333, 68.53333)"
Garland,10861,Valid,Diogenite-pm,102,Fell,1950,41.683330,-112.133330,"(41.68333, -112.13333)"
Gashua,44882,Valid,L6,4162,Fell,1984,12.850000,11.033330,"(12.85, 11.03333)"
Gasseltepaoua,10866,Valid,H5,,Fell,2000,14.150830,-2.041670,"(14.15083, -2.04167)"
Geidam,10870,Valid,H5,725,Fell,1950,12.916670,11.916670,"(12.91667, 11.91667)"
Gifu,10914,Valid,L6,14290,Fell,1909,35.533330,136.883330,"(35.53333, 136.88333)"
Girgenti,10917,Valid,L6,18000,Fell,1853,37.316670,13.566670,"(37.31667, 13.56667)"
Git-Git,10919,Valid,L6,480,Fell,1947,9.600000,9.916670,"(9.6, 9.91667)"
Glanerbrug,10923,Valid,L/LL5,670,Fell,1990,52.200000,6.866670,"(52.2, 6.86667)"
Glanggang,10924,Valid,H5-6,1303,Fell,1939,-7.250000,107.700000,"(-7.25, 107.7)"
Glasatovo,10926,Valid,H4,152000,Fell,1918,57.350000,37.616670,"(57.35, 37.61667)"
Glatton,10930,Valid,L6,767,Fell,1991,52.459720,-0.300000,"(52.45972, -0.3)"
Gnadenfrei,10936,Valid,H5,1750,Fell,1879,50.666670,16.766670,"(50.66667, 16.76667)"
Gopalpur,10948,Valid,H6,1600,Fell,1865,24.233330,89.050000,"(24.23333, 89.05)"
Gorlovka,10949,Valid,H3.7,3618,Fell,1974,48.283330,38.083330,"(48.28333, 38.08333)"
Granes,10956,Valid,L6,9000,Fell,1964,42.900000,2.250000,"(42.9, 2.25)"
Grefsheim,11196,Valid,L5,45.5,Fell,1976,60.666670,11.000000,"(60.66667, 11.0)"
Grimsby,50911,Valid,H5,215,Fell,2009,43.200000,-79.616670,"(43.2, -79.61667)"
Grosnaja,11206,Valid,CV3,3500,Fell,1861,43.666670,45.383330,"(43.66667, 45.38333)"
Gross-Divina,11207,Valid,H5,10500,Fell,1837,49.266670,18.716670,"(49.26667, 18.71667)"
Grossliebenthal,11208,Valid,L6,8000,Fell,1881,46.350000,30.583330,"(46.35, 30.58333)"
Grüneberg,11426,Valid,H4,1000,Fell,1841,51.933330,15.500000,"(51.93333, 15.5)"
Grzempach,11429,Valid,H5,690,Fell,1910,52.866670,16.633330,"(52.86667, 16.63333)"
Gualeguaychú,11432,Valid,H6,22000,Fell,1932,-33.000000,-58.616670,"(-33.0, -58.61667)"
Guangmingshan,11435,Valid,H5,2910,Fell,1996,39.804170,122.763890,"(39.80417, 122.76389)"
Guangnan,11436,Valid,L6,,Fell,1983,24.100000,105.000000,"(24.1, 105.0)"
Guangrao,11437,Valid,L6,1900,Fell,1980,37.100000,118.400000,"(37.1, 118.4)"
Guareña,11439,Valid,H6,39000,Fell,1892,38.733330,-6.016670,"(38.73333, -6.01667)"
Guêa,11440,Valid,Stone-uncl,1915,Fell,1891,43.766670,20.233330,"(43.76667, 20.23333)"
Guibga,11442,Valid,L5,288,Fell,1972,13.500000,-0.683330,"(13.5, -0.68333)"
Guidder,11443,Valid,LL5,968,Fell,1949,9.916670,13.983330,"(9.91667, 13.98333)"
Gujargaon,11448,Valid,H5,2449,Fell,1982,22.983330,76.050000,"(22.98333, 76.05)"
Gujba,11449,Valid,CBa,100000,Fell,1984,11.491670,11.658330,"(11.49167, 11.65833)"
Gumoschnik,11450,Valid,H5,5700,Fell,1904,42.900000,24.700000,"(42.9, 24.7)"
Gurram Konda,11464,Valid,L6,28,Fell,1814,13.783330,78.566670,"(13.78333, 78.56667)"
Gursum,11465,Valid,H4/5,34650,Fell,1981,9.366670,42.416670,"(9.36667, 42.41667)"
Gütersloh,11466,Valid,H3/4,1000,Fell,1851,51.916670,8.383330,"(51.91667, 8.38333)"
Gyokukei,11467,Valid,OC,1320,Fell,1930,35.000000,127.500000,"(35.0, 127.5)"
Hachi-oji,11468,Valid,H?,0.2,Fell,1817,35.650000,139.333330,"(35.65, 139.33333)"
Hainaut,11472,Valid,H3-6,9000,Fell,1934,50.316670,3.733330,"(50.31667, 3.73333)"
Hallingeberg,11479,Valid,L3.4,1456,Fell,1944,57.816670,16.233330,"(57.81667, 16.23333)"
Hamlet,11485,Valid,LL4,3710,Fell,1959,41.383330,-86.600000,"(41.38333, -86.6)"
Haraiya,11824,Valid,Eucrite-mmict,1000,Fell,1878,26.800000,82.533330,"(26.8, 82.53333)"
Haripura,11829,Valid,CM2,315,Fell,1921,28.383330,75.783330,"(28.38333, 75.78333)"
Harleton,11830,Valid,L6,8360,Fell,1961,32.675000,-94.511670,"(32.675, -94.51167)"
Harrison County,11842,Valid,L6,680,Fell,1859,38.250000,-86.166670,"(38.25, -86.16667)"
Hashima,11848,Valid,H4,1110.5999999999999,Fell,1910,35.294500,136.700330,"(35.2945, 136.70033)"
Hassi-Jekna,11852,Valid,"Iron, IAB-sHL",1250,Fell,1890,28.950000,0.816670,"(28.95, 0.81667)"
Hatford,11855,Valid,Stone-uncl,29000,Fell,1628,51.650000,-1.516670,"(51.65, -1.51667)"
Haverö,11859,Valid,Ureilite,1544,Fell,1971,60.245560,22.061940,"(60.24556, 22.06194)"
Hedeskoga,11869,Valid,H5,3500,Fell,1922,55.466670,13.783330,"(55.46667, 13.78333)"
Hedjaz,11870,Valid,L3.7-6,6100,Fell,1910,27.333330,35.666670,"(27.33333, 35.66667)"
Heredia,11875,Valid,H5,1000,Fell,1857,10.000000,-84.100000,"(10.0, -84.1)"
Hessle,11878,Valid,H5,20000,Fell,1869,59.850000,17.666670,"(59.85, 17.66667)"
Higashi-koen,11883,Valid,H5,750,Fell,1897,33.600000,130.433330,"(33.6, 130.43333)"
High Possil,11884,Valid,L6,4500,Fell,1804,55.900000,-4.233330,"(55.9, -4.23333)"
Hiroshima,11889,Valid,H5,414,Fell,2003,34.450000,132.383330,"(34.45, 132.38333)"
Hoima,44714,Valid,H6,167.7,Fell,2003,1.345000,31.472780,"(1.345, 31.47278)"
Hökmark,11893,Valid,L4,305.5,Fell,1954,64.433330,21.200000,"(64.43333, 21.2)"
Holbrook,11894,Valid,L/LL6,220000,Fell,1912,34.900000,-110.183330,"(34.9, -110.18333)"
Holetta,11895,Valid,Stone-uncl,1415,Fell,1923,9.066670,38.416670,"(9.06667, 38.41667)"
Homestead,11901,Valid,L5,230000,Fell,1875,41.800000,-91.866670,"(41.8, -91.86667)"
Honolulu,11904,Valid,L5,2420,Fell,1825,21.300000,-157.866670,"(21.3, -157.86667)"
Hotse,11913,Valid,L6,180,Fell,1956,35.666670,115.500000,"(35.66667, 115.5)"
Hoxie,11915,Valid,OC,266.10000000000002,Fell,1963,39.350000,-100.450000,"(39.35, -100.45)"
Hraschina,11916,Valid,"Iron, IID",49000,Fell,1751,46.100000,16.333330,"(46.1, 16.33333)"
Huaxi,54719,Valid,H5,1600,Fell,2010,26.464690,106.632410,"(26.46469, 106.63241)"
Hungen,11986,Valid,H6,112,Fell,1877,50.300000,8.916670,"(50.3, 8.91667)"
Hvittis,11989,Valid,EL6,14000,Fell,1901,61.183330,22.683330,"(61.18333, 22.68333)"
Ibbenbüren,11992,Valid,Diogenite,2000,Fell,1870,52.283330,7.700000,"(52.28333, 7.7)"
Ibitira,11993,Valid,Eucrite-mmict,2500,Fell,1957,-20.000000,-45.000000,"(-20.0, -45.0)"
Ibrisim,11994,Valid,OC,,Fell,1949,38.000000,35.000000,"(38.0, 35.0)"
Ichkala,11995,Valid,H6,3973,Fell,1936,58.200000,82.933330,"(58.2, 82.93333)"
Idutywa,12000,Valid,H5,3457,Fell,1956,-32.100000,28.333330,"(-32.1, 28.33333)"
Iguaracu,12003,Valid,H5,1200,Fell,1977,-23.200000,-51.833330,"(-23.2, -51.83333)"
Ijopega,12004,Valid,H6,7330,Fell,1975,-6.033330,145.366670,"(-6.03333, 145.36667)"
Indarch,12027,Valid,EH4,27000,Fell,1891,39.750000,46.666670,"(39.75, 46.66667)"
Independence,12028,Valid,L6,880,Fell,1917,39.083330,-94.400000,"(39.08333, -94.4)"
Inner Mongolia,12037,Valid,L6,3000,Fell,1963,41.000000,112.000000,"(41.0, 112.0)"
Innisfree,12039,Valid,L5,4576,Fell,1977,53.415000,-111.337500,"(53.415, -111.3375)"
Ipiranga,12043,Valid,H6,7000,Fell,1972,-25.500000,-54.500000,"(-25.5, -54.5)"
Ishinga,12049,Valid,H,1300,Fell,1954,-8.933330,33.800000,"(-8.93333, 33.8)"
Isthilart,12053,Valid,H5,3050,Fell,1928,-31.183330,-57.950000,"(-31.18333, -57.95)"
Itapicuru-Mirim,12056,Valid,H5,2024,Fell,1879,-3.400000,-44.333330,"(-3.4, -44.33333)"
Itqiy,12058,Valid,EH7-an,4720,Fell,1990,26.590830,-12.952170,"(26.59083, -12.95217)"
Ivuna,12063,Valid,CI1,704.5,Fell,1938,-8.416670,32.433330,"(-8.41667, 32.43333)"
Jackalsfontein,12065,Valid,L6,48000,Fell,1903,-32.500000,21.900000,"(-32.5, 21.9)"
Jajh deh Kot Lalu,12067,Valid,EL6,973,Fell,1926,26.750000,68.416670,"(26.75, 68.41667)"
Jalanash,12068,Valid,Ureilite,700,Fell,1990,,,
Jalandhar,12069,Valid,Iron,1967,Fell,1621,31.000000,75.000000,"(31.0, 75.0)"
Jamkheir,12072,Valid,H6,22,Fell,1866,18.750000,75.333330,"(18.75, 75.33333)"
Jartai,12074,Valid,L6,20500,Fell,1979,39.700000,105.800000,"(39.7, 105.8)"
Jelica,12078,Valid,LL6,34000,Fell,1889,43.833330,20.441670,"(43.83333, 20.44167)"
Jemlapur,12079,Valid,L6,450,Fell,1901,,,
Jesenice,51589,Valid,L6,3667,Fell,2009,46.421370,14.052170,"(46.42137, 14.05217)"
Jhung,12085,Valid,L5,5900,Fell,1873,31.300000,72.383330,"(31.3, 72.38333)"
Jiange,12086,Valid,H5,222,Fell,1964,31.916670,104.916670,"(31.91667, 104.91667)"
Jianshi,12087,Valid,"Iron, IIIAB",600000,Fell,1890,30.808330,109.500000,"(30.80833, 109.5)"
Jilin,12171,Valid,H5,4000000,Fell,1976,44.050000,126.166670,"(44.05, 126.16667)"
Jodiya,47362,Valid,L5,100,Fell,2006,22.680000,70.313330,"(22.68, 70.31333)"
Jodzie,12173,Valid,Howardite,30,Fell,1877,55.700000,24.400000,"(55.7, 24.4)"
Johnstown,12198,Valid,Diogenite,40300,Fell,1924,40.350000,-104.900000,"(40.35, -104.9)"
Jolomba,12199,Valid,LL6,483,Fell,1974,-11.850000,15.833330,"(-11.85, 15.83333)"
Jonzac,12202,Valid,Eucrite-mmict,5000,Fell,1819,45.433330,-0.450000,"(45.43333, -0.45)"
Juancheng,12203,Valid,H5,100000,Fell,1997,35.500000,115.416670,"(35.5, 115.41667)"
Judesegeri,12207,Valid,H6,680,Fell,1876,12.850000,76.800000,"(12.85, 76.8)"
Jumapalo,12209,Valid,L6,32490,Fell,1984,-7.716670,111.200000,"(-7.71667, 111.2)"
Junan,12210,Valid,L6,950,Fell,1976,35.200000,118.800000,"(35.2, 118.8)"
Juromenha,12213,Valid,"Iron, IIIAB",25250,Fell,1968,38.740280,-7.270000,"(38.74028, -7.27)"
Juvinas,12214,Valid,Eucrite-mmict,91000,Fell,1821,44.716670,4.300000,"(44.71667, 4.3)"
Kaba,12218,Valid,CV3,3000,Fell,1857,47.350000,21.300000,"(47.35, 21.3)"
Kabo,12220,Valid,H4,13400,Fell,1971,11.850000,8.216670,"(11.85, 8.21667)"
Kadonah,12221,Valid,H6,89,Fell,1822,27.083330,78.333330,"(27.08333, 78.33333)"
Kaee,12222,Valid,H5,230,Fell,1838,27.250000,79.966670,"(27.25, 79.96667)"
Kagarlyk,12227,Valid,L6,1900,Fell,1908,49.866670,30.833330,"(49.86667, 30.83333)"
Kaidun,12228,Valid,CR2,2000,Fell,1980,15.000000,48.300000,"(15.0, 48.3)"
Kainsaz,12229,Valid,CO3.2,200000,Fell,1937,55.433330,53.250000,"(55.43333, 53.25)"
Kakangari,12230,Valid,K3,350,Fell,1890,12.383330,78.516670,"(12.38333, 78.51667)"
Kakowa,12231,Valid,L6,577,Fell,1858,45.133330,21.666670,"(45.13333, 21.66667)"
Kalaba,12232,Valid,H4,950,Fell,1951,-6.833330,29.500000,"(-6.83333, 29.5)"
Kalumbi,12236,Valid,L6,4500,Fell,1879,17.833330,73.983330,"(17.83333, 73.98333)"
Kamalpur,12238,Valid,L6,2770,Fell,1942,26.033330,81.466670,"(26.03333, 81.46667)"
Kamiomi,12240,Valid,H5,448,Fell,1913,36.041670,139.956670,"(36.04167, 139.95667)"
Kamsagar,12241,Valid,L6,1293,Fell,1902,14.183330,75.800000,"(14.18333, 75.8)"
Kandahar (Afghanistan),12243,Valid,L6,299,Fell,1959,31.600000,65.783330,"(31.6, 65.78333)"
Kangean,12245,Valid,H5,1630,Fell,1908,-7.000000,115.500000,"(-7.0, 115.5)"
Kangra Valley,12246,Valid,H5,400,Fell,1897,32.083330,76.300000,"(32.08333, 76.3)"
Kapoeta,12251,Valid,Howardite,11355,Fell,1942,4.700000,33.633330,"(4.7, 33.63333)"
Kaprada,47357,Valid,L5/6,1600,Fell,2004,20.339160,73.223290,"(20.33916, 73.22329)"
Kaptal-Aryk,12253,Valid,L6,3500,Fell,1937,42.450000,73.366670,"(42.45, 73.36667)"
Karakol,12256,Valid,LL6,3000,Fell,1840,47.216670,81.016670,"(47.21667, 81.01667)"
Karatu,12258,Valid,LL6,2220,Fell,1963,-3.500000,35.583330,"(-3.5, 35.58333)"
Karewar,12260,Valid,L6,180,Fell,1949,12.900000,7.150000,"(12.9, 7.15)"
Karkh,12262,Valid,L6,22000,Fell,1905,27.800000,67.166670,"(27.8, 67.16667)"
Karloowala,12263,Valid,L6,2950,Fell,1955,31.583330,71.600000,"(31.58333, 71.6)"
Karoonda,12264,Valid,CK4,41730,Fell,1930,-35.083330,139.916670,"(-35.08333, 139.91667)"
Kasamatsu,12266,Valid,H,710,Fell,1938,35.366670,136.766670,"(35.36667, 136.76667)"
Kasauli,30740,Valid,H4,16820,Fell,2003,29.583330,77.583330,"(29.58333, 77.58333)"
Katagum,35465,Valid,L6,1500,Fell,1999,11.333330,10.083330,"(11.33333, 10.08333)"
Kavarpura,47351,Valid,"Iron, IIE-an",6800,Fell,2006,25.143330,75.813330,"(25.14333, 75.81333)"
Kayakent,12268,Valid,"Iron, IIIAB",85000,Fell,1961,39.263330,31.780000,"(39.26333, 31.78)"
Kediri,12270,Valid,L4,3300,Fell,1940,-7.750000,112.016670,"(-7.75, 112.01667)"
Kemer,53654,Valid,L4,5760,Fell,2008,36.541940,29.418220,"(36.54194, 29.41822)"
Kendleton,12275,Valid,L4,6937,Fell,1939,29.450000,-96.000000,"(29.45, -96.0)"
Kendrapara,12276,Valid,H4-5,6669.2,Fell,2003,20.462500,86.702780,"(20.4625, 86.70278)"
Kerilis,12282,Valid,H5,5000,Fell,1874,48.400000,-3.300000,"(48.4, -3.3)"
Kernouve,12284,Valid,H6,80000,Fell,1869,48.116670,-3.083330,"(48.11667, -3.08333)"
Kesen,12286,Valid,H4,135000,Fell,1850,38.983330,141.616670,"(38.98333, 141.61667)"
Khairpur,12288,Valid,EL6,13600,Fell,1873,29.533330,72.300000,"(29.53333, 72.3)"
Khanpur,12289,Valid,LL5,3698,Fell,1932,25.550000,83.116670,"(25.55, 83.11667)"
Kharkov,12291,Valid,L6,1500,Fell,1787,50.625000,35.075000,"(50.625, 35.075)"
Kheragur,12294,Valid,L6,450,Fell,1860,26.950000,77.883330,"(26.95, 77.88333)"
Khetri,12296,Valid,H6,100,Fell,1867,28.016670,75.816670,"(28.01667, 75.81667)"
Khmelevka,12297,Valid,L5,6109,Fell,1929,56.750000,75.333330,"(56.75, 75.33333)"
Khohar,12298,Valid,L3.6,9700,Fell,1910,25.100000,81.533330,"(25.1, 81.53333)"
Khor Temiki,12299,Valid,Aubrite,3200,Fell,1932,16.000000,36.000000,"(16.0, 36.0)"
Kidairat,12300,Valid,H6,100000,Fell,1983,14.000000,28.000000,"(14.0, 28.0)"
Kiel,12301,Valid,L6,737.6,Fell,1962,54.400000,10.150000,"(54.4, 10.15)"
Kiffa,12303,Valid,H5,1500,Fell,1970,16.583330,-11.333330,"(16.58333, -11.33333)"
Kijima (1906),12305,Valid,Stone-uncl,331,Fell,1906,36.850000,138.383330,"(36.85, 138.38333)"
Kikino,12306,Valid,H6,195,Fell,1809,55.000000,34.000000,"(55.0, 34.0)"
Kilabo,12307,Valid,LL6,19000,Fell,2002,12.766670,9.800000,"(12.76667, 9.8)"
Kilbourn,12308,Valid,H5,772,Fell,1911,43.583330,-89.600000,"(43.58333, -89.6)"
Killeter,12309,Valid,H6,140,Fell,1844,54.666670,-7.666670,"(54.66667, -7.66667)"
Kingai,12316,Valid,H6,67.400000000000006,Fell,1967,11.633330,24.683330,"(11.63333, 24.68333)"
Kirbyville,12321,Valid,Eucrite-mmict,97.7,Fell,1906,30.750000,-95.950000,"(30.75, -95.95)"
Kisvarsány,12325,Valid,L6,1550,Fell,1914,48.166670,22.308330,"(48.16667, 22.30833)"
Kitchener,12326,Valid,L6,202.6,Fell,1998,43.383330,-80.383330,"(43.38333, -80.38333)"
Klein-Wenden,12332,Valid,H6,3250,Fell,1843,51.600000,10.800000,"(51.6, 10.8)"
Knyahinya,12335,Valid,L/LL5,500000,Fell,1866,48.900000,22.400000,"(48.9, 22.4)"
Kobe,12336,Valid,CK4,136,Fell,1999,34.733330,135.166670,"(34.73333, 135.16667)"
Kokubunji,12342,Valid,L6,11510,Fell,1986,34.300000,133.950000,"(34.3, 133.95)"
Komagome,12343,Valid,Iron,238,Fell,1926,35.733330,139.750000,"(35.73333, 139.75)"
Konovo,12344,Valid,LL5,90,Fell,1931,42.516670,26.166670,"(42.51667, 26.16667)"
Košice,53810,Valid,H5,4300,Fell,2010,48.763670,21.176330,"(48.76367, 21.17633)"
Krähenberg,12353,Valid,LL5,16500,Fell,1869,49.326940,7.464720,"(49.32694, 7.46472)"
Krasnoi-Ugol,12355,Valid,L6,2440,Fell,1829,54.033330,40.900000,"(54.03333, 40.9)"
Krasnyi Klyuch,12357,Valid,H5,4000,Fell,1946,54.333330,56.083330,"(54.33333, 56.08333)"
Krutikha,12363,Valid,OC,845.2,Fell,1906,56.800000,77.000000,"(56.8, 77.0)"
Krymka,12364,Valid,LL3.2,50000,Fell,1946,47.833330,30.766670,"(47.83333, 30.76667)"
Kukschin,12368,Valid,L6,2250,Fell,1938,51.150000,31.700000,"(51.15, 31.7)"
Kulak,12369,Valid,L5,453.6,Fell,1961,30.731110,66.802220,"(30.73111, 66.80222)"
Kuleschovka,12370,Valid,L6,6000,Fell,1811,50.750000,33.500000,"(50.75, 33.5)"
Kulp,12373,Valid,H6,3719,Fell,1906,41.116670,45.000000,"(41.11667, 45.0)"
Kunashak,12377,Valid,L6,200000,Fell,1949,55.783330,61.366670,"(55.78333, 61.36667)"
Kunya-Urgench,12379,Valid,H5,1100000,Fell,1998,42.250000,59.200000,"(42.25, 59.2)"
Kushiike,12381,Valid,OC,4460,Fell,1920,37.050000,138.383330,"(37.05, 138.38333)"
Kusiali,12382,Valid,L6,5,Fell,1860,29.683330,78.383330,"(29.68333, 78.38333)"
Kutais,12383,Valid,H5,23,Fell,1977,44.516670,39.300000,"(44.51667, 39.3)"
Kuttippuram,12384,Valid,L6,45000,Fell,1914,10.833330,76.033330,"(10.83333, 76.03333)"
Kuznetzovo,12385,Valid,L6,4047,Fell,1932,55.200000,75.333330,"(55.2, 75.33333)"
Kyushu,12390,Valid,L6,45000,Fell,1886,32.033330,130.633330,"(32.03333, 130.63333)"
La Bécasse,12392,Valid,L6,2800,Fell,1879,47.083330,1.750000,"(47.08333, 1.75)"
La Charca,12394,Valid,OC,399,Fell,1878,20.666670,-101.283330,"(20.66667, -101.28333)"
La Colina,12395,Valid,H5,2000,Fell,1924,-37.333330,-61.533330,"(-37.33333, -61.53333)"
La Criolla,12396,Valid,L6,45000,Fell,1985,-31.233330,-58.166670,"(-31.23333, -58.16667)"
Laborel,12408,Valid,H5,3833,Fell,1871,44.283330,5.583330,"(44.28333, 5.58333)"
Lahrauli,12433,Valid,Ureilite,900,Fell,1955,26.783330,82.716670,"(26.78333, 82.71667)"
L'Aigle,12434,Valid,L6,37000,Fell,1803,48.766670,0.633330,"(48.76667, 0.63333)"
Cumulus Hills 04075,32531,Valid,Pallasite,9.6,Found,2003,,,
Lakangaon,12435,Valid,Eucrite-mmict,212.5,Fell,1910,21.866670,76.033330,"(21.86667, 76.03333)"
Lalitpur,12451,Valid,L6,372,Fell,1887,24.450000,78.566670,"(24.45, 78.56667)"
Lancé,12455,Valid,CO3.5,51700,Fell,1872,47.700000,1.066670,"(47.7, 1.06667)"
Lancon,12456,Valid,H6,7000,Fell,1897,43.750000,5.116670,"(43.75, 5.11667)"
Långhalsen,12461,Valid,L6,2300,Fell,1947,58.850000,16.733330,"(58.85, 16.73333)"
Lanxi,12464,Valid,L6,1282,Fell,1986,46.241670,126.196110,"(46.24167, 126.19611)"
Lanzenkirchen,12465,Valid,L4,7000,Fell,1925,47.750000,16.233330,"(47.75, 16.23333)"
Laochenzhen,12466,Valid,H5,14250,Fell,1987,33.133330,115.166670,"(33.13333, 115.16667)"
Launton,12740,Valid,L6,1060,Fell,1830,51.900000,-1.116670,"(51.9, -1.11667)"
Lavrentievka,12743,Valid,L6,800,Fell,1938,52.450000,51.566670,"(52.45, 51.56667)"
Le Pressoir,12748,Valid,H5,3000,Fell,1845,47.166670,0.433330,"(47.16667, 0.43333)"
Le Teilleul,12749,Valid,Howardite,780,Fell,1845,48.533330,-0.866670,"(48.53333, -0.86667)"
Leedey,12755,Valid,L6,51500,Fell,1943,35.883330,-99.333330,"(35.88333, -99.33333)"
Leeuwfontein,12756,Valid,L6,460,Fell,1912,-25.666670,28.366670,"(-25.66667, 28.36667)"
Leighlinbridge,12759,Valid,L6,271.39999999999998,Fell,1999,52.666670,-6.966670,"(52.66667, -6.96667)"
Leighton,12760,Valid,H5,877,Fell,1907,34.583330,-87.500000,"(34.58333, -87.5)"
Leonovka,12765,Valid,L6,700,Fell,1900,52.266670,32.850000,"(52.26667, 32.85)"
